1574036266050,-28800000,Eating chips,Start
1574036277903,-28800000,Eating chips,End
1574036279670,-28800000,Drinking,Start
1574036287975,-28800000,Drinking,End
1574036290367,-28800000,Eating chips,Start
1574036306396,-28800000,Eating chips,End
1574036308645,-28800000,Drinking,Start
1574036316241,-28800000,Drinking,End
1574036319238,-28800000,Eating chips,Start
1574036332701,-28800000,Eating chips,End
1574036335205,-28800000,Drinking,Start
1574036342067,-28800000,Drinking,End
1574036344166,-28800000,Eating chips,Start
1574036356495,-28800000,Eating chips,End
1574036379776,-28800000,Eating chips,Start
1574036384257,-28800000,Eating chips,End
1574036387860,-28800000,Eating chips,Start
1574036400470,-28800000,Eating chips,End
1574036402029,-28800000,Drinking,Start
1574036409461,-28800000,Drinking,End
1574036414235,-28800000,Eating chips,Start
1574036433332,-28800000,Eating chips,End
1574036435507,-28800000,Drinking,Start
1574036441750,-28800000,Drinking,End
